NAME,CITY,Full Address,latitude,longitude,COMPLETION,Meters,Feet,FLOORS,MATERIAL,FUNCTION
Burj Mohammed Bin Rashid,Abu Dhabi,Burj Mohammed Bin Rashid Abu Dhabi ,24.486755,54.3578424,2014,381.2 m,"1,251 ft",88,concrete,residential
Empire State Building,New York City,Empire State Building New York City ,40.7484405,-73.9856644,1931,381 m,"1,250 ft",102,steel,office
Elite Residence,Dubai,Elite Residence Dubai ,25.0895735,55.1478445,2012,380.5 m,"1,248 ft",87,concrete,residential
Central Plaza,Hong Kong,Central Plaza Hong Kong ,22.2799097,114.1737282,1992,373.9 m,"1,227 ft",78,concrete,office
Federation Tower,Moscow,Federation Tower Moscow ,55.7464477,37.5365228,2016,373.7 m,"1,226 ft",93,concrete,residential / office
Dalian International Trade Center,Dalian,Dalian International Trade Center Dalian ,38.920574,121.637787,2019,370.2 m,"1,214 ft",86,composite,residential / office
The Address Boulevard,Dubai,The Address Boulevard Dubai ,25.2002648,55.2760223,2017,370 m,"1,214 ft",73,concrete,residential / hotel / retail
Golden Eagle Tiandi Tower A,Nanjing,Golden Eagle Tiandi Tower A Nanjing ,40.7982133,-77.8599084,2019,368.1 m,"1,208 ft",77,composite,hotel / office
Bank of China Tower,Hong Kong,Bank of China Tower Hong Kong ,22.2793043,114.1614931,1990,367.4 m,"1,205 ft",72,composite,office
Bank of America Tower,New York City,Bank of America Tower New York City ,40.755608,-73.9849349,2009,365.8 m,"1,200 ft",55,composite,office
St. Regis Chicago,Chicago,St. Regis Chicago Chicago ,41.8874485,-87.6174981,2020,362.9 m,"1,191 ft",101,concrete,residential / hotel
Almas Tower,Dubai,Almas Tower Dubai ,25.0689836,55.1412048,2008,360 m,"1,181 ft",68,concrete,office
Hanking Center,Shenzhen,Hanking Center Shenzhen ,22.543096,114.057865,2018,358.9 m,"1,177 ft",65,composite,office
Gevora Hotel,Dubai,Gevora Hotel Dubai ,25.2125083,55.2769667,2017,356.3 m,"1,169 ft",75,steel/concrete,hotel
JW Marriott Marquis Hotel Dubai Tower 1,Dubai,JW Marriott Marquis Hotel Dubai Tower 1 Dubai ,25.1854005,55.2580876,2012,355.4 m,"1,166 ft",82,concrete,hotel
JW Marriott Marquis Hotel Dubai Tower 2,Dubai,JW Marriott Marquis Hotel Dubai Tower 2 Dubai ,25.1854005,55.2580876,2013,355.4 m,"1,166 ft",82,concrete,hotel
Emirates Tower One,Dubai,Emirates Tower One Dubai ,25.217603,55.2828107,2000,354.6 m,"1,163 ft",54,composite,office
Raffles City Chongqing T3N,Chongqing,Raffles City Chongqing T3N Chongqing ,29.563428,106.588509,2019,354.5 m,"1,163 ft",79,composite,residential / retail
Raffles City Chongqing T4N,Chongqing,Raffles City Chongqing T4N Chongqing ,29.563428,106.588509,2019,354.5 m,"1,163 ft",74,composite,hotel / office / retail
OKO - Residential Tower,Moscow,OKO - Residential Tower Moscow ,55.7499443,37.5343747,2015,354.2 m,"1,162 ft",90,concrete,residential / serviced apartments / hotel
The Torch,Dubai,The Torch Dubai ,25.087942,55.1475,2011,352 m,"1,155 ft",86,concrete,residential
Forum 66 Tower 1,Shenyang,Forum 66 Tower 1 Shenyang ,41.804386,123.433881,2015,350.6 m,"1,150 ft",68,composite,hotel / office
The Pinnacle,Guangzhou,The Pinnacle Guangzhou ,23.1250438,113.3234639,2012,350.3 m,"1,149 ft",60,concrete,office
Spring City 66,Kunming,Spring City 66 Kunming ,24.880095,102.832891,2019,349 m,"1,145 ft",61,composite,office
85 Sky Tower,Kaohsiung,85 Sky Tower Kaohsiung ,22.611518,120.300315,1997,347.5 m,"1,140 ft",85,steel,hotel / office / retail
Shimao Hunan Center,Changsha,Shimao Hunan Center Changsha ,28.2274307,112.9386753,2019,347 m,"1,138 ft",N/A,composite,office
Aon Center,Chicago,Aon Center Chicago ,41.8852828,-87.6215121,1973,346.3 m,"1,136 ft",83,steel,office
The Center,Hong Kong,The Center Hong Kong ,22.2846202,114.1547347,1998,346 m,"1,135 ft",73,steel,office
NEVA TOWERS 2,Moscow,NEVA TOWERS 2 Moscow ,55.7514248,37.5356575,2020,345 m,"1,132 ft",79,concrete,residential
875 North Michigan Avenue,Chicago,875 North Michigan Avenue Chicago ,41.898883,-87.6231503,1969,343.7 m,"1,128 ft",100,steel,residential / office
Four Seasons Place,Kuala Lumpur,Four Seasons Place Kuala Lumpur ,3.1581663,101.7135536,2018,342.5 m,"1,124 ft",74,concrete,residential / hotel
ADNOC Headquarters,Abu Dhabi,ADNOC Headquarters Abu Dhabi ,24.4619703,54.3242125,2015,342 m,"1,122 ft",65,concrete,office
One Shenzhen Bay Tower 7,Shenzhen,One Shenzhen Bay Tower 7 Shenzhen ,22.543096,114.057865,2018,341.4 m,"1,120 ft",71,composite,residential / hotel / office
LCT The Sharp Residential Tower A,Busan,LCT The Sharp Residential Tower A Busan ,35.1610625,129.1684375,2019,339.1 m,"1,113 ft",85,concrete,residential
Comcast Technology Center,Philadelphia,Comcast Technology Center Philadelphia ,39.954956,-75.1706008,2018,339.1 m,"1,112 ft",59,composite,hotel / office
Wuxi International Finance Square,Wuxi,Wuxi International Finance Square Wuxi ,31.491169,120.31191,2014,339 m,"1,112 ft",68,composite,hotel / office
Heartland 66 Office Tower,Wuhan,Heartland 66 Office Tower Wuhan ,30.592849,114.305539,2020,339 m,"1,112 ft",60,composite,office
Chongqing World Financial Center,Chongqing,Chongqing World Financial Center Chongqing ,29.559143,106.577798,2015,338.9 m,"1,112 ft",72,composite,hotel / office
Mercury City Tower,Moscow,Mercury City Tower Moscow ,55.750556,37.539611,2013,338.8 m,"1,112 ft",75,concrete,residential / office
Suning Plaza Tower 1,Zhenjiang,Suning Plaza Tower 1 Zhenjiang ,32.187849,119.425836,2018,338 m,"1,109 ft",75,composite,hotel / serviced apartments / SOHO / office
Tianjin Modern City Office Tower,Tianjin,Tianjin Modern City Office Tower Tianjin ,39.119243,117.197308,2016,338 m,"1,109 ft",65,composite,office
Hengqin International Finance Center,Zhuhai,Hengqin International Finance Center Zhuhai ,22.1274462,113.5293933,2020,337.7 m,"1,108 ft",69,composite,residential / office
Tianjin World Financial Center,Tianjin,Tianjin World Financial Center Tianjin ,39.1297658,117.2030415,2011,336.9 m,"1,105 ft",75,composite,office
SLS Dubai,Dubai,SLS Dubai Dubai ,25.1848541,55.2922759,2020,336 m,"1,102 ft",78,concrete,serviced apartments / hotel
Wilshire Grand Center,Los Angeles,Wilshire Grand Center Los Angeles ,34.0500114,-118.2611838,2017,335.3 m,"1,100 ft",62,composite,hotel / office
DAMAC Heights,Dubai,DAMAC Heights Dubai ,25.08728,55.145627,2018,335.1 m,"1,099 ft",88,concrete,residential
"Twin Towers Guiyang, East Tower",Guiyang,"Twin Towers Guiyang, East Tower Guiyang ",26.647661,106.630153,2020,335 m,"1,099 ft",74,composite,office
"Twin Towers Guiyang, West Tower",Guiyang,"Twin Towers Guiyang, West Tower Guiyang ",26.647661,106.630153,2020,335 m,"1,099 ft",74,composite,hotel / office
Shimao International Plaza,Shanghai,Shimao International Plaza Shanghai ,31.2343464,121.4760796,2006,333.3 m,"1,094 ft",60,concrete,hotel / office / retail
LCT The Sharp Residential Tower B,Busan,LCT The Sharp Residential Tower B Busan ,35.1610625,129.1684375,2019,333.1 m,"1,093 ft",85,concrete,residential
Rose Rayhaan by Rotana,Dubai,Rose Rayhaan by Rotana Dubai ,25.211845,55.2765543,2007,333 m,"1,093 ft",71,composite,hotel
Jinan Center Financial City A5-3,Jinan,Jinan Center Financial City A5-3 Jinan ,36.6512,117.120095,2020,333 m,"1,093 ft",69,composite,hotel / office
The Address Residence - Fountain Views III,Dubai,The Address Residence - Fountain Views III Dubai ,25.1945452,55.2820408,2019,331.8 m,"1,089 ft",77,concrete,serviced apartments / hotel
Minsheng Bank Building,Wuhan,Minsheng Bank Building Wuhan ,30.594394,114.272755,2008,331 m,"1,086 ft",68,steel,office
China World Tower,Beijing,China World Tower Beijing ,39.909511,116.458172,2010,330 m,"1,083 ft",74,composite,hotel / office
Yuexiu Fortune Center Tower 1,Wuhan,Yuexiu Fortune Center Tower 1 Wuhan ,30.569091,114.2504732,2017,330 m,"1,083 ft",68,composite,office
